CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA
87;CH;57804;D;;0;;1.21526;1.90971;0.17363;BRANCO;71
87;CH;57804;D;;0;;1.21526;1.90971;0.17363;ROSA;72
88;CH;60223;E;;0;;2.29329;2.06699;0.17413;AZUL;53
88;CH;60224;E;;0;;1.30667;1.60044;0.162;AMARELO;54
88;CH;60225;D;;0;;0.78917;1.22871;0.1937;BRANCO;55
88;CH;60217;D;;0;;0.78346;0.5514;0.37795;ROSA;56
88;CH;58531;B;;0;;1.6573;1.40928;0.16859;AZUL;69
88;CH;58531;B;;0;;1.6573;1.40928;0.16859;AMARELO;70
88;CH;58531;B;;0;;1.6573;1.40928;0.16859;BRANCO;71
88;CH;58531;B;;0;;1.6573;1.40928;0.16859;ROSA;72
89;CH;60224;E;;0;;1.30667;1.60044;0.162;AZUL;53
89;CH;60223;E;;0;;2.29329;2.06699;0.17413;AMARELO;54
89;CH;60223;E;;0;;2.29329;2.06699;0.17413;BRANCO;55
89;CH;60215;D;;0;;2.07233;1.55811;0.13524;ROSA;56
89;CH;58772;E;;0;;1.22521;2.63831;0.17959;AZUL;69
89;CH;58896;E;;0;;1.406;2.50315;0.18312;AMARELO;70
89;CH;58896;E;;0;;1.406;2.50315;0.18312;BRANCO;71
89;CH;58772;E;;0;;1.22521;2.63831;0.17959;ROSA;72
90;CH;60225;D;;0;;0.78917;1.22871;0.1937;AZUL;53
90;CH;60225;D;;0;;0.78917;1.22871;0.1937;AMARELO;54
90;CH;60224;E;;0;;1.30667;1.60044;0.162;BRANCO;55
90;CH;60219;B;;0;;2.48756;1.71943;0.16899;ROSA;56
90;CH;58896;E;;0;;1.406;2.50315;0.18312;AZUL;69
90;CH;58772;E;;0;;1.22521;2.63831;0.17959;AMARELO;70
90;CH;58772;E;;0;;1.22521;2.63831;0.17959;BRANCO;71
90;CH;58896;E;;0;;1.406;2.50315;0.18312;ROSA;72
1;CN;60083;C;;0;;1.38076;-1.70677;0.14199;AZUL;49
1;CN;60083;C;;0;;1.38076;-1.70677;0.14199;AMARELO;50
1;CN;60084;D;;0;;2.14163;0.62043;0.09837;BRANCO;51
1;CN;60086;B;;0;;1.23281;0.115;0.34173;ROSA;52
1;CN;57919;B;;0;;2.34911;-0.06031;0.15259;AZUL;65
1;CN;57919;B;;0;;2.34911;-0.06031;0.15259;AMARELO;66
1;CN;57919;B;;0;;2.34911;-0.06031;0.15259;BRANCO;67
1;CN;57919;B;;0;;2.34911;-0.06031;0.15259;ROSA;68
2;CN;60084;D;;0;;2.14163;0.62043;0.09837;AZUL;49
2;CN;60085;A;;0;;0.92339;2.07704;0.30865;AMARELO;50
